⋯你個頭,nei5 go3 tau4
批個頭落嚟俾你當櫈坐,pai1 go3 tau2 lok6 lai4 bei2 nei5 dong3 dang3 co5,pai1 go3 tau4 lok6 lai4 bei2 nei5 dong3 dang3 co5
批個頭落嚟畀你當凳坐,pai1 go3 tau2 lok6 lai4 bei2 nei5 dong3 dang3 co5,pai1 go3 tau4 lok6 lai4 bei2 nei5 dong3 dang3 co5
批個頭落嚟畀你當櫈坐,pai1 go3 tau2 lok6 lai4 bei2 nei5 dong3 dang3 co5,pai1 go3 tau4 lok6 lai4 bei2 nei5 dong3 dang3 co5
批閲,pai1 jyut6
承上啓下,sing4 soeng6 kai2 haa6
把口瑯過油,baa2 hau2 long2 gwo3 jau4
把口過油,baa2 hau2 long2 gwo3 jau4
披閲,pei1 jyut6
抳,nei4
抽濕劑,cau1 sap1 zai1
拜枱,baai3 toi2
拞,jau1
持証人,ci4 zing3 jan4
指天督地,zi2 tin1 duk1 dei6
挨屏,aai1 peng1
挱,saa3
捉刀人,zuk1 dou1 jan4
捵癮,din2 jan5
掅,cing3
掉哪媽,diu2 naa5 maa1
掘頭進士,gwat6 tau4 zeon3 si6
掙脱,zang1 tyut3
探題,taam3 tai4
推錢機,teoi1 cin2 gei1
掭,tim5
掱,paa4
揆情度理,kwai4 cing4 dok6 lei5
揆時度勢,kwai4 si4 dok6 sai3
揗,tan4
換句話説,wun6 geoi3 waa6 syut3
揢,kak1
揾丁,wan2 ding1
揾來搞,wan2 lei4 gaau2,wan2 lai4 gaau2
揾來講,wan2 lai4 gong2,wan2 lei4 gong2
揾個銀刮痧都冇,wan2 go3 ngan4 gwaat3 saa1 dou1 mou5
揾四方錢,wan2 sei3 fong1 cin4
揾朝唔得晏,wan2 ziu1 m4 dak1 aan3
揾朝唔得晚,wan2 ziu1 m4 dak1 maan5
揾米路,wan2 mai5 lou6
揾銀紙,wan2 ngan4 zi2
揾錢買花戴,wan2 cin2 maai5 faa1 daai3
搉,kok1
搓皮,caa1 pei2
搓魚蛋,caai1 jyu4 daan2
搰,wat6
摘數,zaak6 sou3
摞低,leoi1 dai1
摥,tong3
摵眉,cik1 mei4
摻埋⋯玩,cam1 maai4 waan2
撇脱,pit3 tyut3
撍,cim4
撏,cim4
撬馬腳,giu6 maa5 goek3
播音台,bo3 jam1 toi4
擏,geng6
擔雪填井,daam1 syut3 tin4 zeng2
擙,ngou1,ou1
擴充咭,kwong3 cung1 kaa1
攊,nik1
攋嘢,laai2 je5
攣住,lyun1 zyu6
攣弮蝦米,lyun1 gung1 haa1 mai5
攪攪棍,gaau2 gaau2 gwan3
放低二両,fong3 dai1 ji6 loeng2
放低幾両,fong3 dai1 gei2 loeng2
放圮,fong3 pe5
散仔強,saan4 zai2 koeng4
整煲杰嘢人嘆,zing2 bou1 git6 je5 jan4 taan3
斗姆,dau2 mou5
斗姥,dau2 mou5
斵,doek3
旋水髮,syun4 seoi2 faat3
日⋯夜⋯,jat6 je6
日偏蝕,jat6 pin1 sik6
日本円,jat6 bun2 jen1
昆玉,kwan1 juk2
昧水銅人,mei6 seoi2 tung4 jan4
晒月光,saai3 jyut6 gwong1
晒馬檻,saai3 maa5 laam2
暫亂歌柄,zaam6 lyun6 go1 beng3
更弦易轍,gang1 jin4 ji6 cit3
書信館,syu1 seon3 gun2
書坊舖,syu1 fong1 pou2
替芯,tai3 sam1
有人就人冇人就陳大文,jau5 jan4 zau6 jan4 mou5 jan4 zau6 can4 daai6 man4
有兩道散手,jau5 loeng5 dou6 saan2 sau2
有冤屈無路訴,jau5 jyun1 wat1 mou4 lou6 sou3
有咁⋯得咁⋯,jau5 gam3 dak1 gam3
